Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
13:00:00.000-05:00,13:15:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
13:15:00.000-05:00,13:30:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
13:30:00.000-05:00,13:45:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
13:45:00.000-05:00,14:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
14:00:00.000-05:00,14:15:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
14:15:00.000-05:00,14:30:00.000-05:00,15.971351623535156,,,,,19.068655014038086,72.828369140625,19.068655014038086,72.828369140625,,,,0,,,,,900000,,
14:30:00.000-05:00,14:45:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.828369140625,19.068567276000977,72.82837677001953,,,,22,,,,,900000,,
14:45:00.000-05:00,15:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
15:00:00.000-05:00,15:15:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
15:15:00.000-05:00,15:30:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
15:30:00.000-05:00,15:45:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
15:45:00.000-05:00,16:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
16:00:00.000-05:00,16:15:00.000-05:00,15.971351623535156,,,,,,,,,,,,1,,,,,900000,,
16:15:00.000-05:00,16:30:00.000-05:00,15.971351623535156,,,,,,,,,,,,98,,,,,900000,,
16:30:00.000-05:00,16:45:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.828369140625,19.068565368652344,72.828369140625,,,,,,,,,900000,,
16:45:00.000-05:00,17:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
17:00:00.000-05:00,17:15:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
17:15:00.000-05:00,17:30:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
17:30:00.000-05:00,17:45:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
17:45:00.000-05:00,18:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
18:00:00.000-05:00,18:15:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.82837677001953,19.068567276000977,72.82837677001953,,,,,,,,,900000,,
18:15:00.000-05:00,18:30:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
18:30:00.000-05:00,18:45:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
18:45:00.000-05:00,19:00:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.828369140625,19.068565368652344,72.828369140625,,,,,,,,,900000,,
19:00:00.000-05:00,19:15:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
19:15:00.000-05:00,19:30:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
19:30:00.000-05:00,19:45:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
19:45:00.000-05:00,20:00:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.82837677001953,19.068567276000977,72.82837677001953,,,,7,,,,,900000,,
20:00:00.000-05:00,20:15:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,28,,,,,900000,,
20:15:00.000-05:00,20:30:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
20:30:00.000-05:00,20:45:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
20:45:00.000-05:00,21:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
21:00:00.000-05:00,21:15:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
21:15:00.000-05:00,21:30:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
21:30:00.000-05:00,21:45:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.82837677001953,19.068567276000977,72.82837677001953,,,,,,,,,900000,,
21:45:00.000-05:00,22:00:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
22:00:00.000-05:00,22:15:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,35,,,,,900000,,
22:15:00.000-05:00,22:30:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
22:30:00.000-05:00,22:45:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.82837677001953,19.068567276000977,72.82837677001953,,,,,,,,,900000,,
22:45:00.000-05:00,23:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
23:00:00.000-05:00,23:15:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
23:15:00.000-05:00,23:30:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.82837677001953,19.068567276000977,72.82837677001953,,,,,,,,,900000,,
23:30:00.000-05:00,23:45:00.000-05:00,15.971351623535156,,,,,19.068565368652344,72.82837677001953,19.068565368652344,72.82837677001953,,,,,,,,,900000,,
23:45:00.000-05:00,00:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
