Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Strength training duration (ms)
2015-12-05,1649.90283203125,1115.186767578125,,,,19.055795669555664,72.82490539550781,19.073673248291016,72.83490753173828,10.245922088623047,11.49184513092041,9.0,7761,,,,,71685521,2169834,,
2015-12-06,1730.993408203125,4309.0712890625,69.0,69.0,69.0,19.067367553710938,72.82826232910156,19.068721771240234,72.8283920288086,,,,10880,,,,,77395458,3311706,,116259
2015-12-07,1702.5426025390625,2005.5267333984375,,,,18.99669075012207,72.82073974609375,19.101272583007812,72.8759536743164,2.406881093978882,12.020814895629883,0.5,5382,,,,,66004850,3071671,,
2015-12-08,1704.450439453125,3350.286865234375,,,,19.05569839477539,72.82440185546875,19.07276725769043,72.83750915527344,1.8088456392288208,4.977328300476074,0.5100980401039124,4366,,,,459840,79533862,2318786,,
2015-12-09,2171.6376953125,10554.84375,,,,13.703502655029297,72.571044921875,23.052318572998047,100.493408203125,4.246076583862305,22.700563430786133,0.5189412236213684,14174,,,,1487079,62535111,6130318,896096,
2015-12-10,2020.23486328125,6064.9833984375,,,,13.70291805267334,100.49087524414062,13.705777168273926,100.49623107910156,0.6995222568511963,2.4205164909362793,0.5308483242988586,14741,,,,,68313117,7917596,136002,284461
2015-12-11,1855.737060546875,3419.376953125,51.0,51.0,51.0,13.70171070098877,100.48843383789062,13.711860656738281,100.4970703125,26.692119598388672,26.692119598388672,26.692119598388672,9745,,,,,70243153,5669567,,
2015-12-12,2029.7236328125,5240.8466796875,,,,13.702496528625488,100.49097442626953,13.707525253295898,100.4991226196289,3.8502368927001953,8.290005683898926,0.5060632228851318,16664,,,,,58777339,8269353,169933,
2015-12-13,1924.3233642578125,6788.72705078125,,,,13.686300277709961,72.82422637939453,21.919998168945312,100.753662109375,7.452843189239502,18.110000610351562,0.5199999809265137,11306,,,,650956,56515149,5755327,,
2015-12-14,1640.561767578125,1237.943359375,,,,19.04572868347168,72.81983947753906,19.07269287109375,72.87203979492188,1.9281586408615112,14.279999732971191,0.643272876739502,4766,,,,,73921933,1989439,,
2015-12-15,1591.0072021484375,661.5691528320312,,,,19.05485725402832,72.82650756835938,19.07333755493164,72.83602905273438,2.1205172538757324,10.673260688781738,0.5063595175743103,3140,,,,,78132312,1152470,,
2015-12-16,1677.727783203125,3002.14599609375,,,,19.04582977294922,72.81698608398438,19.07016372680664,72.83601379394531,3.470691680908203,10.288955688476562,0.5556977391242981,3671,,,,546244,75716266,1707298,,
2015-12-17,1665.3621826171875,1160.2193603515625,,,,19.027175903320312,72.81786346435547,19.0712947845459,72.87993621826172,5.391626358032227,18.23567008972168,0.5,5219,,,,,61064953,2422763,,
2015-12-18,1704.3072509765625,4134.16015625,,,,19.04593276977539,72.81996154785156,19.07111167907715,72.84447479248047,3.705458164215088,10.71046257019043,0.5003998279571533,4078,,,,827381,75172542,1688915,,
2015-12-19,1642.62939453125,1512.016845703125,,,,19.044118881225586,72.81623077392578,19.072635650634766,72.83599090576172,3.2427659034729004,13.235335350036621,0.5699999928474426,6186,,,,,71505448,2024638,,
2015-12-20,1554.1595458984375,364.4425964355469,,,,19.061941146850586,72.82332611083984,19.073230743408203,72.83085632324219,2.184952735900879,9.02002239227295,0.5200961232185364,1522,,,,,80960285,527797,,
2015-12-21,1773.6898193359375,2952.246337890625,,,,19.045564651489258,72.81990814208984,19.072052001953125,72.83822631835938,3.2802464962005615,10.12490463256836,0.5063595175743103,10639,,,,,71180745,3243043,456043,
2015-12-22,1719.7022705078125,3341.02099609375,,,,18.92523765563965,72.80815887451172,19.071481704711914,72.8316650390625,2.354318618774414,3.7278010845184326,0.7402702569961548,6610,,,,,70644703,2586118,244884,60000
2015-12-23,1649.9913330078125,1103.7281494140625,,,,19.05112075805664,72.82185363769531,19.072717666625977,72.83594512939453,1.8283207416534424,11.45003890991211,0.5008991956710815,4657,,,,,73137779,2166802,,
2015-12-24,1615.2059326171875,880.65673828125,,,,18.922475814819336,72.80713653564453,19.069171905517578,72.8315658569336,2.9921772480010986,9.61004638671875,0.5200961232185364,3669,,,,,72811690,1541880,,
2015-12-25,1587.686767578125,617.4415893554688,,,,19.026918411254883,72.82322692871094,21.919998168945312,82.77999877929688,3.318260669708252,11.501738548278809,0.5531727075576782,4240,,,,,75668095,1103933,,
2015-12-26,1654.8199462890625,1272.685546875,,,,19.0560302734375,72.82648468017578,19.07290267944336,72.8367691040039,1.9919723272323608,7.590659141540527,0.6299999952316284,6190,,,,,75508386,2231703,,
2015-12-27,1843.0775146484375,5226.234375,,,,19.001497268676758,72.81459045410156,19.07111167907715,72.84451293945312,3.1130154132843018,20.280986785888672,0.5000999569892883,10462,,,,,73112832,5470449,,
2015-12-28,1591.5118408203125,645.0302734375,,,,18.927453994750977,72.80036163330078,19.076213836669922,72.87386322021484,3.641777515411377,25.995819091796875,0.5199999809265137,4607,,,,,70022966,1165808,,
2015-12-29,1688.802734375,1726.19140625,,,,19.052528381347656,72.82427978515625,19.10235023498535,72.87670135498047,4.66411828994751,18.50027084350586,0.5600000023841858,7060,,,,,70434220,2688842,60293,
2015-12-30,1914.815673828125,5887.90625,,,,43.680824279785156,-97.0,54.000003814697266,-0.44294169545173645,1.715203881263733,5.161094665527344,0.5603570342063904,11940,,,,,34425616,6001181,280788,
2015-12-31,1548.534423828125,240.0404815673828,,,,43.688270568847656,-79.38579559326172,43.69282531738281,-79.38168334960938,1.3818721771240234,3.509999990463257,0.5035871267318726,2135,,,,,80591738,418227,,
